"module name","license","repository"
"@electric-sql/pglite-socket@0.1.3","Apache-2.0","https://github.com/electric-sql/pglite"
"@electric-sql/pglite-tools@0.3.3","Apache-2.0","https://github.com/electric-sql/pglite"
"@electric-sql/pglite@0.4.3","Apache-2.0","https://github.com/electric-sql/pglite"
"@esbuild/linux-x64@0.28.1","MIT","https://github.com/evanw/esbuild"
"@fastify/accept-negotiator@2.0.1","MIT","https://github.com/fastify/accept-negotiator"
"@fastify/ajv-compiler@4.0.5","MIT","https://github.com/fastify/ajv-compiler"
"@fastify/busboy@3.2.0","MIT","https://github.com/fastify/busboy"
"@fastify/cookie@11.1.2","MIT","https://github.com/fastify/fastify-cookie"
"@fastify/cors@11.3.0","MIT","https://github.com/fastify/fastify-cors"
"@fastify/deepmerge@3.2.1","MIT","https://github.com/fastify/deepmerge"
"@fastify/error@4.2.0","MIT","https://github.com/fastify/fastify-error"
"@fastify/fast-json-stringify-compiler@5.1.0","MIT","https://github.com/fastify/fast-json-stringify-compiler"
"@fastify/forwarded@3.0.2","MIT","https://github.com/fastify/forwarded"
"@fastify/helmet@12.0.1","MIT","https://github.com/fastify/fastify-helmet"
"@fastify/jwt@10.2.1","MIT","https://github.com/fastify/fastify-jwt"
"@fastify/merge-json-schemas@0.2.1","MIT","https://github.com/fastify/merge-json-schemas"
"@fastify/multipart@9.4.0","MIT","https://github.com/fastify/fastify-multipart"
"@fastify/proxy-addr@5.1.0","MIT","https://github.com/fastify/proxy-addr"
"@fastify/rate-limit@10.3.0","MIT","https://github.com/fastify/fastify-rate-limit"
"@fastify/send@4.1.0","MIT","https://github.com/fastify/send"
"@fastify/static@10.1.3","MIT","https://github.com/fastify/fastify-static"
"@img/colour@1.1.0","MIT","https://github.com/lovell/colour"
"@img/sharp-libvips-linux-x64@1.3.2","LGPL-3.0-or-later","https://github.com/lovell/sharp-libvips"
"@img/sharp-linux-x64@0.35.3","Apache-2.0","https://github.com/lovell/sharp"
"@ioredis/commands@1.10.0","MIT","https://github.com/ioredis/commands"
"@lukeed/ms@2.0.2","MIT","https://github.com/lukeed/ms"
"@pinojs/redact@0.4.0","MIT","https://github.com/pinojs/redact"
"@prisma/adapter-better-sqlite3@7.9.1","Apache-2.0","https://github.com/prisma/prisma"
"@prisma/adapter-mariadb@7.9.1","Apache-2.0","https://github.com/prisma/prisma"
